name,type,focal_length,left_margin,right_margin,in_roc,out_roc,thickness,refractive_index
TXP25.3,thick,0.025856889336325507,0.01,0.01,0.0131,-inf,0.0117,1.506634801642448
TXP49.8,thick,0.050924255334137254,0.01,0.01,0.0258,-inf,0.0053,1.506634801642448
TXP99.7,thick,0.10165112983364606,0.01,0.01,0.051500000000000004,-inf,0.0036000000000000003,1.506634801642448
TXP149.5,thick,0.1525753851677833,0.01,0.01,0.0773,-inf,0.0031000000000000003,1.506634801642448
TXP199.3,thick,0.20330225966729212,0.01,0.01,0.10300000000000001,-inf,0.0028,1.506634801642448
TXP299,thick,0.30495338950093814,0.01,0.01,0.1545,-inf,0.0025,1.506634801642448
