name,type,focal_length,left_margin,right_margin,in_roc,out_roc,thickness,refractive_index
LPX50,thick,0.05139599552889923,0.005,0.005,inf,-0.026039000000000003,0.005,1.506634801642448
LPX80,thick,0.08145709664281048,0.005,0.005,inf,-0.041269,0.004,1.506634801642448
LPX100,thick,0.10108267302991616,0.005,0.005,inf,-0.05121200000000001,0.004,1.506634801642448
LPX150,thick,0.15454524589737514,0.005,0.005,inf,-0.078298,0.004,1.506634801642448
LPX200,thick,0.20314435499958938,0.005,0.005,inf,-0.10292,0.004,1.506634801642448
LPX300,thick,0.3039467472443332,0.005,0.005,inf,-0.15399000000000002,0.004,1.506634801642448
LPX500,thick,0.5139599552889922,0.005,0.005,inf,-0.26039,0.004,1.506634801642448
LPX1000,thick,1.0035828536682978,0.005,0.005,inf,-0.50845,4e-05,1.506634801642448
