name,type,focal_length,left_margin,right_margin,in_roc,out_roc,thickness,refractive_index
LPVn50,thick,0.05139599552889923,0.005,0.005,inf,-0.026039000000000003,0.0015,1.506634801642448
LPVn100,thick,0.10108267302991616,0.005,0.005,inf,-0.05121200000000001,0.0015,1.506634801642448
LPVn200,thick,0.2060853294355531,0.005,0.005,inf,-0.10441,0.0015,1.506634801642448
LPVn500,thick,0.5139599552889922,0.005,0.005,inf,-0.26039,0.0015,1.506634801642448
LPVn1000,thick,1.032893907610621,0.005,0.005,inf,-0.5233,0.0015,1.506634801642448
