name,type,focal_length,left_margin,right_margin,in_roc,out_roc,thickness,refractive_index
LBX20,thick,0.020577731587795297,0.01,0.01,0.019248,-0.019248,0.0088,1.506634801642448
LBX25,thick,0.02530676319634065,0.01,0.01,0.024406000000000004,-0.024406000000000004,0.007,1.506634801642448
LBX50,thick,0.05240234698252005,0.01,0.01,0.05233,-0.05233,0.0045000000000000005,1.506634801642448
LBX80,thick,0.0830269117348559,0.01,0.01,0.083536,-0.083536,0.0035,1.506634801642448
LBX100,thick,0.10362672104531934,0.01,0.01,0.10441,-0.10441,0.0035,1.506634801642448
LBX150,thick,0.15467358056594338,0.01,0.01,0.15622,-0.15622,0.003,1.506634801642448
LBX200,thick,0.2075811003139078,0.01,0.01,0.20983000000000002,-0.20983000000000002,0.003,1.506634801642448
